sid,elastic,yield,phase_ratio_dict,ds
Co9.85Mo5.35Ti1.20,1.06E+11,757346199.6,"{""martensite"": 0.5991624954933146, ""Fe2Mo"": 0.09135311469986, ""austenite"": 0.2540008833986282, ""gamma_phase"": 0.002085516959701393, ""Ni3Ti"": 0.05339798944849588}",20250307
Co9.85Mo5.15Ti2.80,1.50E+11,1046683690,"{""martensite"": 0.6673808180881425, ""Fe2Mo"": 0.09088340371708704, ""austenite"": 0.1060575734230854, ""gamma_phase"": 0.01517792636065706, ""Ni3Ti"": 0.120500278411028}",20250307
Co9.85Mo5.25Ti0.80,93226695914,673278781.7,"{""martensite"": 0.5856871456430219, ""Fe2Mo"": 0.08847353375758683, ""austenite"": 0.2901539014940375, ""Ni3Ti"": 0.03568541910535388}",20250307
Co9.85Mo5.50Ti1.80,1.08E+11,794488451.6,"{""martensite"": 0.6199590809052807, ""Fe2Mo"": 0.09566916988475394, ""austenite"": 0.198662821428137, ""gamma_phase"": 0.007040402042969952, ""Ni3Ti"": 0.07866852573885844}",20250307
Co9.85Mo4.90Ti1.20,1.08E+11,761104997.6,"{""martensite"": 0.6078607082221297, ""Fe2Mo"": 0.0823275638409893, ""austenite"": 0.2544513614838364, ""gamma_phase"": 0.001854303691789869, ""Ni3Ti"": 0.05350606276125482}",20250307
Co9.85Mo5.40Ti3.00,1.54E+11,1088287588,"{""martensite"": 0.670642122811995, ""Fe2Mo"": 0.09632329874376583, ""austenite"": 0.08724175158329833, ""gamma_phase"": 0.01696161776580331, ""Ni3Ti"": 0.1288312090951375}",20250307
Co9.85Mo5.05Ti2.60,1.38E+11,979487645.9,"{""martensite"": 0.6611536254950802, ""Fe2Mo"": 0.08843805607146009, ""austenite"": 0.124774816980855, ""gamma_phase"": 0.01345993719980879, ""Ni3Ti"": 0.112173564252796}",20250307
Co9.85Mo5.35Ti2.00,1.24E+11,883833090.7,"{""martensite"": 0.6308993386091444, ""Fe2Mo"": 0.09310095957324592, ""austenite"": 0.1803026455548564, ""gamma_phase"": 0.008612433081385502, ""Ni3Ti"": 0.08708462318136784}",20250307
Co9.85Mo5.25Ti2.60,1.44E+11,1005391311,"{""martensite"": 0.6571855510811482, ""Fe2Mo"": 0.09243158842938387, ""austenite"": 0.1246610984051702, ""gamma_phase"": 0.01354515504553289, ""Ni3Ti"": 0.1121766070387649}",20250307
Co9.85Mo5.05Ti1.40,1.15E+11,811705700.8,"{""martensite"": 0.6128486906128411, ""Fe2Mo"": 0.08577184183538525, ""austenite"": 0.2359191190829832, ""gamma_phase"": 0.003555320404031385, ""Ni3Ti"": 0.061905028064759}",20250307
Co9.85Mo5.45Ti1.60,1.11E+11,796830709.2,"{""martensite"": 0.6129875582611185, ""Fe2Mo"": 0.09422980538994692, ""austenite"": 0.2171426335603654, ""gamma_phase"": 0.005382268399855195, ""Ni3Ti"": 0.07025773438871404}",20250307
Co9.85Mo5.00Ti2.20,1.33E+11,933856781.7,"{""martensite"": 0.6458463174678042, ""Fe2Mo"": 0.08654342518628728, ""austenite"": 0.1620191494380995, ""gamma_phase"": 0.01010619504719943, ""Ni3Ti"": 0.09548491286060969}",20250307
Co9.85Mo5.05Ti3.00,1.59E+11,1087360024,"{""martensite"": 0.677637730466398, ""Fe2Mo"": 0.08934070618658352, ""austenite"": 0.08740049568078592, ""gamma_phase"": 0.0168199339758269, ""Ni3Ti"": 0.1288011336904057}",20250307
Co9.85Mo5.35Ti2.20,1.26E+11,899832516.5,"{""martensite"": 0.6389517654755246, ""Fe2Mo"": 0.09354224480486245, ""austenite"": 0.1617771984686335, ""gamma_phase"": 0.01026340933174655, ""Ni3Ti"": 0.09546538191923279}",20250307
Co9.85Mo5.35Ti0.80,96558600073,684963933.4,"{""martensite"": 0.58375918173034, ""Fe2Mo"": 0.09048419462036389, ""austenite"": 0.2900659545374377, ""Ni3Ti"": 0.03569066911185839}",20250307
Co9.85Mo5.45Ti2.60,1.45E+11,1008697544,"{""martensite"": 0.6532144456761176, ""Fe2Mo"": 0.09642968741749143, ""austenite"": 0.1245453712845301, ""gamma_phase"": 0.01363044296742219, ""Ni3Ti"": 0.1121800526544387}",20250307
Co9.85Mo5.00Ti2.40,1.31E+11,923064084.3,"{""martensite"": 0.6539718028825092, ""Fe2Mo"": 0.08699103513996566, ""austenite"": 0.1434314619426071, ""gamma_phase"": 0.01176879113701923, ""Ni3Ti"": 0.1038369088978988}",20250307
Co9.85Mo4.95Ti0.80,90052254564,633687951.6,"{""martensite"": 0.5914676902532947, ""Fe2Mo"": 0.0824485206328043, ""austenite"": 0.2904135452471978, ""Ni3Ti"": 0.03567024386670317}",20250307
Co9.85Mo5.15Ti2.00,1.22E+11,872727408.5,"{""martensite"": 0.6348255854407514, ""Fe2Mo"": 0.08909728796232894, ""austenite"": 0.1804541351650757, ""gamma_phase"": 0.008520083250422207, ""Ni3Ti"": 0.08710290818142165}",20250307
Co9.85Mo5.10Ti1.20,99872947055,713634268,"{""martensite"": 0.6039962767739019, ""Fe2Mo"": 0.08633602443083134, ""austenite"": 0.2542529295499013, ""gamma_phase"": 0.001956815338362603, ""Ni3Ti"": 0.05345795390700288}",20250307
Co9.85Mo5.40Ti2.80,1.48E+11,1033346268,"{""martensite"": 0.6624005627908625, ""Fe2Mo"": 0.09587563204184138, ""austenite"": 0.1059288496074954, ""gamma_phase"": 0.01528175746448597, ""Ni3Ti"": 0.1205131980953146}",20250307
Co9.85Mo5.00Ti1.80,1.23E+11,870326573.1,"{""martensite"": 0.6297381119812452, ""Fe2Mo"": 0.08565339949485547, ""austenite"": 0.1990727824179963, ""gamma_phase"": 0.006803177046567954, ""Ni3Ti"": 0.07873252905933514}",20250307
Co9.85Mo4.90Ti1.40,1.03E+11,758089691,"{""martensite"": 0.6157578181972246, ""Fe2Mo"": 0.08276791113742435, ""austenite"": 0.2360582296941491, ""gamma_phase"": 0.003480516693426049, ""Ni3Ti"": 0.06193552427777593}",20250307
Co9.85Mo4.90Ti2.00,1.20E+11,860750326.4,"{""martensite"": 0.639729600407004, ""Fe2Mo"": 0.08409915710042917, ""austenite"": 0.1806401396549891, ""gamma_phase"": 0.008404937197746081, ""Ni3Ti"": 0.08712616563983168}",20250307
Co9.85Mo5.25Ti1.80,1.13E+11,817692276.4,"{""martensite"": 0.6248506236217529, ""Fe2Mo"": 0.09065768480519813, ""austenite"": 0.1988697661509828, ""gamma_phase"": 0.006921587570564603, ""Ni3Ti"": 0.07870033785150166}",20250307
Co9.85Mo5.20Ti1.20,97567454948,688447237,"{""martensite"": 0.6020631967479826, ""Fe2Mo"": 0.0883419911333521, ""austenite"": 0.2541526461249101, ""gamma_phase"": 0.002008220245114373, ""Ni3Ti"": 0.05343394574864102}",20250307
Co9.85Mo4.90Ti2.60,1.48E+11,1019007607,"{""martensite"": 0.66412769309857, ""Fe2Mo"": 0.085445898884843, ""austenite"": 0.1248587928698865, ""gamma_phase"": 0.01339606755133499, ""Ni3Ti"": 0.1121715475953654}",20250307
Co9.85Mo5.10Ti2.00,1.14E+11,823839896.5,"{""martensite"": 0.635806725571569, ""Fe2Mo"": 0.08809708811442901, ""austenite"": 0.1804916340229987, ""gamma_phase"": 0.00849702845581573, ""Ni3Ti"": 0.08710752383518743}",20250307
Co9.85Mo5.25Ti1.00,1.04E+11,741388965.6,"{""martensite"": 0.5932714164402394, ""Fe2Mo"": 0.08891138502965845, ""austenite"": 0.2724338371193213, ""gamma_phase"": 0.0004204731359203443, ""Ni3Ti"": 0.04496288827486046}",20250307
Co9.85Mo5.35Ti1.60,1.16E+11,819148549,"{""martensite"": 0.614936945899217, ""Fe2Mo"": 0.09222359846464726, ""austenite"": 0.2172319078230701, ""gamma_phase"": 0.005333396146444636, ""Ni3Ti"": 0.0702741516666211}",20250307
Co9.85Mo5.40Ti2.20,1.31E+11,925241495.8,"{""martensite"": 0.637966128020626, ""Fe2Mo"": 0.0945432230094289, ""austenite"": 0.1617420669968543, ""gamma_phase"": 0.01028590928692421, ""Ni3Ti"": 0.09546267268616641}",20250307
Co9.85Mo5.00Ti2.60,1.34E+11,941509153.9,"{""martensite"": 0.6621451706802076, ""Fe2Mo"": 0.08744038558819425, ""austenite"": 0.124802933774334, ""gamma_phase"": 0.01343864324776607, ""Ni3Ti"": 0.1121728667094981}",20250307
Co9.85Mo5.50Ti1.60,1.14E+11,815420324.7,"{""martensite"": 0.6120126303785015, ""Fe2Mo"": 0.09523334251781523, ""austenite"": 0.2170977489061987, ""gamma_phase"": 0.005406733941475176, ""Ni3Ti"": 0.07024954425600935}",20250307
Co9.85Mo5.25Ti2.00,1.28E+11,906760240.9,"{""martensite"": 0.6328627993309504, ""Fe2Mo"": 0.09109854906712929, ""austenite"": 0.1803786894852139, ""gamma_phase"": 0.008566231851553906, ""Ni3Ti"": 0.08709373026515266}",20250307
Co9.85Mo5.05Ti2.00,1.27E+11,900056193.1,"{""martensite"": 0.6367876971141785, ""Fe2Mo"": 0.08709717523205739, ""austenite"": 0.180528983753982, ""gamma_phase"": 0.008473986543593295, ""Ni3Ti"": 0.08711215735618871}",20250307
Co9.85Mo5.15Ti1.00,91760185189,656869994.7,"{""martensite"": 0.5951973666046332, ""Fe2Mo"": 0.08690350980912816, ""austenite"": 0.2725408666619589, ""gamma_phase"": 0.0003675875190623176, ""Ni3Ti"": 0.04499066940521752}",20250307
Co9.85Mo5.00Ti1.00,95068132392,680243065,"{""martensite"": 0.5980852523868116, ""Fe2Mo"": 0.08389387349453416, ""austenite"": 0.2727000256551103, ""gamma_phase"": 0.0002884699226010829, ""Ni3Ti"": 0.04503237854094303}",20250307
Co9.85Mo5.45Ti2.80,1.50E+11,1038644531,"{""martensite"": 0.6614039212514489, ""Fe2Mo"": 0.09687493261530172, ""austenite"": 0.1059027528459836, ""gamma_phase"": 0.01530252853745178, ""Ni3Ti"": 0.1205158647498141}",20250307
Co9.85Mo5.40Ti1.20,97832408427,708036357.2,"{""martensite"": 0.5981953065899746, ""Fe2Mo"": 0.09235740269478405, ""austenite"": 0.2539499385616619, ""gamma_phase"": 0.002111333565273809, ""Ni3Ti"": 0.05338601858830575}",20250307
Co9.85Mo5.25Ti2.20,1.25E+11,892412259.2,"{""martensite"": 0.6409225141841016, ""Fe2Mo"": 0.09154114915421599, ""austenite"": 0.161847035420913, ""gamma_phase"": 0.01021844040681171, ""Ni3Ti"": 0.09547086083395755}",20250307
Co9.85Mo5.30Ti1.80,1.11E+11,806878206.1,"{""martensite"": 0.6238726395284879, ""Fe2Mo"": 0.09165940531963358, ""austenite"": 0.1988286920660753, ""gamma_phase"": 0.006945317736150704, ""Ni3Ti"": 0.07869394534965245}",20250307
Co9.85Mo5.50Ti2.20,1.23E+11,879176306.6,"{""martensite"": 0.635994326790467, ""Fe2Mo"": 0.09654604081508152, ""austenite"": 0.1616713773644431, ""gamma_phase"": 0.01033094059502133, ""Ni3Ti"": 0.09545731443498706}",20250307
Co9.85Mo5.05Ti0.80,94834079429,686363460.1,"{""martensite"": 0.5895413991652492, ""Fe2Mo"": 0.08445569777481664, ""austenite"": 0.2903276964993122, ""Ni3Ti"": 0.03567520656062195}",20250307
Co9.85Mo5.20Ti0.80,94551463988,668529554.7,"{""martensite"": 0.5866509181699984, ""Fe2Mo"": 0.08746863923390213, ""austenite"": 0.2901976125461486, ""Ni3Ti"": 0.03568283004995097}",20250307
Co9.85Mo5.40Ti2.60,1.46E+11,1004278221,"{""martensite"": 0.6542075062685377, ""Fe2Mo"": 0.09542973411372209, ""austenite"": 0.1245744918215673, ""gamma_phase"": 0.01360911420937863, ""Ni3Ti"": 0.1121791535867942}",20250307
Co9.85Mo5.25Ti3.00,1.61E+11,1098213697,"{""martensite"": 0.6736414662090597, ""Fe2Mo"": 0.0933290546353288, ""austenite"": 0.08731043579300882, ""gamma_phase"": 0.01690090376927161, ""Ni3Ti"": 0.1288181395933311}",20250307
Co9.85Mo5.50Ti2.40,1.25E+11,894011796.4,"{""martensite"": 0.6440836832135886, ""Fe2Mo"": 0.09698710291638517, ""austenite"": 0.1431143403430356, ""gamma_phase"": 0.01198762123257483, ""Ni3Ti"": 0.1038272522944158}",20250307
Co9.85Mo5.15Ti2.40,1.29E+11,917187283.1,"{""martensite"": 0.6510072809278524, ""Fe2Mo"": 0.08998685269865961, ""austenite"": 0.143337728866714, ""gamma_phase"": 0.01183436436113844, ""Ni3Ti"": 0.1038337731456355}",20250307
Co9.85Mo5.45Ti3.00,1.47E+11,1043597647,"{""martensite"": 0.6696419328981119, ""Fe2Mo"": 0.09732194890701998, ""austenite"": 0.08721863922966032, ""gamma_phase"": 0.01698185341877483, ""Ni3Ti"": 0.128835625546433}",20250307
Co9.85Mo4.95Ti2.80,1.41E+11,989514244,"{""martensite"": 0.6713614810672934, ""Fe2Mo"": 0.08689474315011295, ""austenite"": 0.1061584478880755, ""gamma_phase"": 0.01509488772030759, ""Ni3Ti"": 0.1204904401742105}",20250307
Co9.85Mo4.95Ti1.20,1.06E+11,749978254.8,"{""martensite"": 0.6068948163481953, ""Fe2Mo"": 0.08332924521918988, ""austenite"": 0.2544020199972687, ""gamma_phase"": 0.001879894662855873, ""Ni3Ti"": 0.05349402377249023}",20250307
Co9.85Mo4.95Ti1.00,94754124117,689477303.2,"{""martensite"": 0.5990476039633799, ""Fe2Mo"": 0.08289124125579841, ""austenite"": 0.2727527098048544, ""gamma_phase"": 0.0002621530402043498, ""Ni3Ti"": 0.04504629193576293}",20250307
Co9.85Mo5.20Ti2.00,1.21E+11,861361913.1,"{""martensite"": 0.6338442767010571, ""Fe2Mo"": 0.09009777490381171, ""austenite"": 0.1804164870342401, ""gamma_phase"": 0.008543151018483235, ""Ni3Ti"": 0.08709831034240781}",20250307
Co9.85Mo5.10Ti1.80,1.20E+11,859132969.3,"{""martensite"": 0.6277836029648306, ""Fe2Mo"": 0.08765425068496822, ""austenite"": 0.1989920461535022, ""gamma_phase"": 0.006850493604213788, ""Ni3Ti"": 0.07871960659248528}",20250307
Co9.85Mo5.50Ti1.40,1.04E+11,730779368,"{""martensite"": 0.6041132148276246, ""Fe2Mo"": 0.0947992397502845, ""austenite"": 0.2354925374729725, ""gamma_phase"": 0.003780919753522293, ""Ni3Ti"": 0.0618140881955962}",20250307
Co9.85Mo5.15Ti2.20,1.32E+11,925350380,"{""martensite"": 0.6428925614405935, ""Fe2Mo"": 0.08954120033309915, ""austenite"": 0.1619163053224629, ""gamma_phase"": 0.01017351225128933, ""Ni3Ti"": 0.09547642065255493}",20250307
Co9.85Mo5.00Ti1.20,1.14E+11,793374057.9,"{""martensite"": 0.6059287805046943, ""Fe2Mo"": 0.08433121568833261, ""austenite"": 0.254352500944732, ""gamma_phase"": 0.001905510173300638, ""Ni3Ti"": 0.05348199268894033}",20250307
Co9.85Mo5.45Ti2.40,1.27E+11,909851344,"{""martensite"": 0.6450733156464832, ""Fe2Mo"": 0.09598620810357171, ""austenite"": 0.1431466551883997, ""gamma_phase"": 0.01196570510102586, ""Ni3Ti"": 0.1038281159605196}",20250307
Co9.85Mo5.10Ti1.60,1.11E+11,793580643.8,"{""martensite"": 0.6198076856916085, ""Fe2Mo"": 0.08721313443256677, ""austenite"": 0.2174522124664128, ""gamma_phase"": 0.005211553322991429, ""Ni3Ti"": 0.07031541408642035}",20250307
Co9.85Mo4.95Ti3.00,1.60E+11,1099147771,"{""martensite"": 0.6796346373180092, ""Fe2Mo"": 0.08734823422832472, ""austenite"": 0.08744487667459876, ""gamma_phase"": 0.01677944080018365, ""Ni3Ti"": 0.1287928109788836}",20250307
Co9.85Mo5.05Ti2.20,1.33E+11,939877500,"{""martensite"": 0.6448619074134694, ""Fe2Mo"": 0.08754239732604394, ""austenite"": 0.1619850093073147, ""gamma_phase"": 0.01012862421813332, ""Ni3Ti"": 0.0954820617350385}",20250307
Co9.85Mo5.30Ti1.60,1.19E+11,846668982.8,"{""martensite"": 0.6159114057184301, ""Fe2Mo"": 0.0912209284033878, ""austenite"": 0.2172762977193523, ""gamma_phase"": 0.005308989203643393, ""Ni3Ti"": 0.0702823789551865}",20250307
Co9.85Mo5.30Ti0.80,1.00E+11,717180145,"{""martensite"": 0.5847232335285449, ""Fe2Mo"": 0.08947871884415193, ""austenite"": 0.2901100155044319, ""Ni3Ti"": 0.03568803212287119}",20250307
Co9.85Mo5.30Ti1.00,88885382257,638865972,"{""martensite"": 0.5923082333287685, ""Fe2Mo"": 0.08991575834793812, ""austenite"": 0.2723800448609724, ""gamma_phase"": 0.0004469585419250926, ""Ni3Ti"": 0.04494900492039579}",20250307
Co9.85Mo5.25Ti2.40,1.35E+11,944775592.5,"{""martensite"": 0.6490300217375757, ""Fe2Mo"": 0.09198549325042774, ""austenite"": 0.1432745730024283, ""gamma_phase"": 0.01187811535738673, ""Ni3Ti"": 0.1038317966521816}",20250307
Co9.85Mo4.95Ti1.40,98066662382,713767249.8,"{""martensite"": 0.6147882587617581, ""Fe2Mo"": 0.08376893285745292, ""austenite"": 0.2360120302400252, ""gamma_phase"": 0.003505429709141731, ""Ni3Ti"": 0.06192534843162215}",20250307
Co9.85Mo5.10Ti0.80,94998483130,704810741.5,"{""martensite"": 0.5885780448387175, ""Fe2Mo"": 0.08545972136889261, ""austenite"": 0.2902845100050734, ""Ni3Ti"": 0.03567772378731641}",20250307
Co9.85Mo5.50Ti1.00,1.04E+11,747575073.2,"{""martensite"": 0.5884541128854517, ""Fe2Mo"": 0.09393615950212007, ""austenite"": 0.2721630226850706, ""gamma_phase"": 0.0005531875459650182, ""Ni3Ti"": 0.04489351738139257}",20250307
Co9.85Mo5.40Ti0.80,91855302177,670221929,"{""martensite"": 0.5827949901506035, ""Fe2Mo"": 0.0914899612131455, ""austenite"": 0.2900217185547355, ""Ni3Ti"": 0.03569333008151544}",20250307
Co9.85Mo4.95Ti2.00,1.15E+11,834614430.9,"{""martensite"": 0.6387491345133063, ""Fe2Mo"": 0.0850982098526325, ""austenite"": 0.1806032364223409, ""gamma_phase"": 0.00842794100442539, ""Ni3Ti"": 0.08712147820729495}",20250307
Co9.85Mo5.50Ti1.20,1.05E+11,761046334.2,"{""martensite"": 0.5962604957998128, ""Fe2Mo"": 0.09436684970037823, ""austenite"": 0.2538475121502191, ""gamma_phase"": 0.00216304414421696, ""Ni3Ti"": 0.05336209820537292}",20250307
Co9.85Mo5.25Ti1.20,97382783801,695083093.9,"{""martensite"": 0.6010964405311927, ""Fe2Mo"": 0.08934540905331097, ""austenite"": 0.254102237038176, ""gamma_phase"": 0.002033960434964054, ""Ni3Ti"": 0.05342195294235618}",20250307
Co9.85Mo5.15Ti1.80,1.12E+11,803954434.6,"{""martensite"": 0.626806105315734, ""Fe2Mo"": 0.08865510761759988, ""austenite"": 0.1989514430479533, ""gamma_phase"": 0.006874175607194926, ""Ni3Ti"": 0.07871316841151793}",20250307
Co9.85Mo5.30Ti2.60,1.41E+11,985319572,"{""martensite"": 0.6561930589457334, ""Fe2Mo"": 0.09343068474423029, ""austenite"": 0.1246323552523384, ""gamma_phase"": 0.01356647030830913, ""Ni3Ti"": 0.1121774307493887}",20250307
Co9.85Mo5.20Ti1.80,1.08E+11,786190766.4,"{""martensite"": 0.625828445542614, ""Fe2Mo"": 0.08965625228113192, ""austenite"": 0.1989106830961542, ""gamma_phase"": 0.00689787356186527, ""Ni3Ti"": 0.07870674551823455}",20250307
Co9.85Mo5.05Ti1.60,1.10E+11,790210371.7,"{""martensite"": 0.6207813659977539, ""Fe2Mo"": 0.08621190685294502, ""austenite"": 0.2174957806794935, ""gamma_phase"": 0.005187241759154235, ""Ni3Ti"": 0.07032370471065344}",20250307
Co9.85Mo5.10Ti1.00,1.02E+11,727954231.3,"{""martensite"": 0.5961601337497525, ""Fe2Mo"": 0.08590000763681256, ""austenite"": 0.272594104227142, ""gamma_phase"": 0.0003411870196951316, ""Ni3Ti"": 0.04500456736659775}",20250307
Co9.85Mo5.15Ti0.80,1.02E+11,723579781,"{""martensite"": 0.5876145512041789, ""Fe2Mo"": 0.08646403514648876, ""austenite"": 0.290241148702175, ""Ni3Ti"": 0.03568026494715742}",20250307
Co9.85Mo5.20Ti1.40,1.08E+11,765878429.6,"{""martensite"": 0.6099382147622193, ""Fe2Mo"": 0.0887783711225785, ""austenite"": 0.235778469486376, ""gamma_phase"": 0.003630319930917856, ""Ni3Ti"": 0.06187462469790834}",20250307
Co9.85Mo5.40Ti1.40,1.04E+11,732232355.9,"{""martensite"": 0.6060554815332367, ""Fe2Mo"": 0.09279112525670195, ""austenite"": 0.2355885358382644, ""gamma_phase"": 0.0037306296450397, ""Ni3Ti"": 0.06183422772675712}",20250307
Co9.85Mo5.45Ti0.80,90805430442,657052806.9,"{""martensite"": 0.5818306586899823, ""Fe2Mo"": 0.09249601874957687, ""austenite"": 0.2899773075195465, ""Ni3Ti"": 0.03569601504089426}",20250307
Co9.85Mo4.90Ti1.00,99661095201,710497091.5,"{""martensite"": 0.6000098170996544, ""Fe2Mo"": 0.08188889872650382, ""austenite"": 0.2728052097714022, ""gamma_phase"": 0.0002358637465214788, ""Ni3Ti"": 0.04506021065591804}",20250307
Co9.85Mo5.00Ti2.80,1.59E+11,1088380721,"{""martensite"": 0.6703666103245914, ""Fe2Mo"": 0.0878914819397355, ""austenite"": 0.1061334041561892, ""gamma_phase"": 0.01511564538193154, ""Ni3Ti"": 0.1204928581975523}",20250307
Co9.85Mo5.25Ti1.40,1.08E+11,764969208.8,"{""martensite"": 0.6089677563885985, ""Fe2Mo"": 0.08978112563198783, ""austenite"": 0.235731243600162, ""gamma_phase"": 0.003655363860076285, ""Ni3Ti"": 0.06186451051917545}",20250307
Co9.85Mo4.95Ti1.80,1.18E+11,840111474.8,"{""martensite"": 0.6307151233914141, ""Fe2Mo"": 0.08465340497909236, ""austenite"": 0.1991129158748474, ""gamma_phase"": 0.006779542289823464, ""Ni3Ti"": 0.0787390134648226}",20250307
Co9.85Mo5.05Ti1.20,1.03E+11,721207906.3,"{""martensite"": 0.6049626006581442, ""Fe2Mo"": 0.08533347538121164, ""austenite"": 0.2543028041780307, ""gamma_phase"": 0.001931150354485662, ""Ni3Ti"": 0.0534699694281278}",20250307
Co9.85Mo5.45Ti1.20,98660494973,717045048.3,"{""martensite"": 0.5972279733735291, ""Fe2Mo"": 0.09336198098338842, ""austenite"": 0.2538988148587374, ""gamma_phase"": 0.002137175914477084, ""Ni3Ti"": 0.05337405486986799}",20250307
Co9.85Mo4.90Ti0.80,94214665128,661676665.1,"{""martensite"": 0.592430627190554, ""Fe2Mo"": 0.08144536683304371, ""austenite"": 0.2904562075972814, ""Ni3Ti"": 0.03566779837912096}",20250307
Co9.85Mo5.35Ti2.60,1.37E+11,987257521.5,"{""martensite"": 0.6552003773498608, ""Fe2Mo"": 0.09443006659751994, ""austenite"": 0.1246034864344105, ""gamma_phase"": 0.01358779000969523, ""Ni3Ti"": 0.1121782796085136}",20250307
Co9.85Mo5.20Ti2.60,1.41E+11,983776545.9,"{""martensite"": 0.6581778537804317, ""Fe2Mo"": 0.09143277752869584, ""austenite"": 0.1246897160232715, ""gamma_phase"": 0.0135238441620554, ""Ni3Ti"": 0.1121758085055456}",20250307
Co9.85Mo5.45Ti2.20,1.21E+11,855183511,"{""martensite"": 0.6369803151338189, ""Fe2Mo"": 0.09554448830356961, ""austenite"": 0.1617067933417434, ""gamma_phase"": 0.01030841968037452, ""Ni3Ti"": 0.09545998354049351}",20250307
Co9.85Mo5.30Ti2.40,1.38E+11,975320488.7,"{""martensite"": 0.6480411187127838, ""Fe2Mo"": 0.09298524255628865, ""austenite"": 0.1432427945138201, ""gamma_phase"": 0.01190000171852934, ""Ni3Ti"": 0.103830842498578}",20250307
Co9.85Mo5.00Ti1.40,1.05E+11,763008381.8,"{""martensite"": 0.6138185495762141, ""Fe2Mo"": 0.08477024304627243, ""austenite"": 0.2359656600863443, ""gamma_phase"": 0.003530364238960088, ""Ni3Ti"": 0.06191518305220901}",20250307
Co9.85Mo5.10Ti3.00,1.57E+11,1078656530,"{""martensite"": 0.6766389707662932, ""Fe2Mo"": 0.09033736755138365, ""austenite"": 0.08737814312029066, ""gamma_phase"": 0.01684017844028563, ""Ni3Ti"": 0.1288053401217468}",20250307
Co9.85Mo5.05Ti2.40,1.36E+11,951069660.2,"{""martensite"": 0.6529838111146724, ""Fe2Mo"": 0.08798935539055315, ""austenite"": 0.1434003508291609, ""gamma_phase"": 0.0117906418678854, ""Ni3Ti"": 0.1038358407977282}",20250307
Co9.85Mo5.05Ti2.80,1.49E+11,1026204637,"{""martensite"": 0.6693715429302934, ""Fe2Mo"": 0.08888850488282049, ""austenite"": 0.1061082439182771, ""gamma_phase"": 0.01513640434483807, ""Ni3Ti"": 0.1204953039237708}",20250307
Co9.85Mo5.10Ti2.60,1.44E+11,1005579806,"{""martensite"": 0.6601618909646848, ""Fe2Mo"": 0.08943601147356271, ""austenite"": 0.1247465751794196, ""gamma_phase"": 0.01348123529758196, ""Ni3Ti"": 0.1121742870847509}",20250307
Co9.85Mo5.00Ti1.60,1.07E+11,761760825.3,"{""martensite"": 0.6217548904810234, ""Fe2Mo"": 0.08521096737707809, ""austenite"": 0.2175391850002485, ""gamma_phase"": 0.005162948933265498, ""Ni3Ti"": 0.07033200820838457}",20250307
Co9.85Mo5.45Ti1.40,99309637416,718253949.1,"{""martensite"": 0.6050844232186829, ""Fe2Mo"": 0.09379503760693804, ""austenite"": 0.2355406227364649, ""gamma_phase"": 0.003755763323339279, ""Ni3Ti"": 0.0618241531145749}",20250307
Co9.85Mo5.05Ti1.80,1.17E+11,843274919.5,"{""martensite"": 0.6287609385127069, ""Fe2Mo"": 0.08665368135379976, ""austenite"": 0.1990324925606532, ""gamma_phase"": 0.006826827451106125, ""Ni3Ti"": 0.07872606012173392}",20250307
Co9.85Mo5.35Ti3.00,1.57E+11,1106610777,"{""martensite"": 0.6716421083131668, ""Fe2Mo"": 0.09532493305841767, ""austenite"": 0.08726475505278075, ""gamma_phase"": 0.0169413809647682, ""Ni3Ti"": 0.1288268226108666}",20250307
Co9.40Mo5.45Ti2.20,1.21E+11,874113247,"{""martensite"": 0.6356089490486045, ""Fe2Mo"": 0.09536443726060163, ""austenite"": 0.163504215719055, ""gamma_phase"": 0.009739601472652131, ""Ni3Ti"": 0.09578279649908661}",20250407
Co9.40Mo5.05Ti2.40,1.37E+11,967706044.8,"{""martensite"": 0.6517949793245034, ""Fe2Mo"": 0.08781512746889485, ""austenite"": 0.1450015784025432, ""gamma_phase"": 0.01124616660547378, ""Ni3Ti"": 0.1041421481985848}",20250407
Co9.40Mo4.90Ti1.00,1.00E+11,708282615.8,"{""martensite"": 0.5977438679150894, ""Fe2Mo"": 0.08166655450802389, ""austenite"": 0.2754088595518316, ""Ni3Ti"": 0.04518071802505513}",20250407
Co9.40Mo5.25Ti2.80,1.56E+11,1067594395,"{""martensite"": 0.6645410849166069, ""Fe2Mo"": 0.09271908538323785, ""austenite"": 0.1072446750257406, ""gamma_phase"": 0.01472674873992508, ""Ni3Ti"": 0.1207684059344896}",20250407
Co9.40Mo4.90Ti2.00,1.19E+11,851964917.6,"{""martensite"": 0.6382045956557947, ""Fe2Mo"": 0.08391140416897906, ""austenite"": 0.182600323245916, ""gamma_phase"": 0.007808331736678909, ""Ni3Ti"": 0.08747534519263121}",20250407
Co9.40Mo5.10Ti2.40,1.35E+11,950951226.9,"{""martensite"": 0.6508053761787423, ""Fe2Mo"": 0.08881384145824252, ""austenite"": 0.1449719837182169, ""gamma_phase"": 0.01126826204543215, ""Ni3Ti"": 0.104140536599366}",20250407
