sid,elastic,yield,phase_ratio_dict,ds
Co8.50Mo5.30Ti3.00,1.58E+11,1111055895,"{""martensite"": 0.6705359789615988, ""Fe2Mo"": 0.09385911212111443, ""austenite"": 0.0905710542034646, ""gamma_phase"": 0.01543683504724038, ""Ni3Ti"": 0.1295970196665818}",20250304
Co8.50Mo5.30Ti2.80,1.37E+11,984962297.3,"{""martensite"": 0.661743951316648, ""Fe2Mo"": 0.09338913638203225, ""austenite"": 0.1098412007853725, ""gamma_phase"": 0.01368434382111846, ""Ni3Ti"": 0.1213413676948289}",20250304
Co8.50Mo4.90Ti2.80,1.50E+11,1040275918,"{""martensite"": 0.6697429591949886, ""Fe2Mo"": 0.0854061684849785, ""austenite"": 0.1100035325657273, ""gamma_phase"": 0.01350851707314209, ""Ni3Ti"": 0.1213388226811634}",20250304
Co8.50Mo5.05Ti1.00,94897471582,666768071.9,"{""martensite"": 0.5901049770839975, ""Fe2Mo"": 0.08421057530453077, ""austenite"": 0.2805760054833361, ""Ni3Ti"": 0.04510844212813544}",20250304
Co8.50Mo5.10Ti1.00,96285799762,699474178.2,"{""martensite"": 0.5891329492845476, ""Fe2Mo"": 0.08521426624107142, ""austenite"": 0.2805416775227539, ""Ni3Ti"": 0.04511110695162707}",20250304
Co8.50Mo5.05Ti1.80,1.10E+11,799625600.2,"{""martensite"": 0.6234730917228334, ""Fe2Mo"": 0.0860597134535865, ""austenite"": 0.2057023123278983, ""gamma_phase"": 0.004893790176642024, ""Ni3Ti"": 0.07987109231903998}",20250304
Co8.50Mo5.05Ti2.80,1.34E+11,948532688.1,"{""martensite"": 0.6667447433814674, ""Fe2Mo"": 0.08839766069638524, ""austenite"": 0.1099435950697541, ""gamma_phase"": 0.01357446376640792, ""Ni3Ti"": 0.1213395370859853}",20250304
Co8.50Mo5.20Ti2.60,1.54E+11,1056736821,"{""martensite"": 0.6549976450006325, ""Fe2Mo"": 0.09092230462843473, ""austenite"": 0.1291141140357755, ""gamma_phase"": 0.01189311864934004, ""Ni3Ti"": 0.1130728176858172}",20250304
Co8.50Mo5.00Ti2.00,1.20E+11,851426916.4,"{""martensite"": 0.6330102056347008, ""Fe2Mo"": 0.08552360557916279, ""austenite"": 0.1866702166900683, ""gamma_phase"": 0.006593910640237441, ""Ni3Ti"": 0.08820206145583073}",20250304
Co8.50Mo5.10Ti2.00,1.22E+11,861410431.3,"{""martensite"": 0.6310383715487338, ""Fe2Mo"": 0.08752386480685433, ""austenite"": 0.1866072763458745, ""gamma_phase"": 0.006640970713648404, ""Ni3Ti"": 0.08818951658488901}",20250304
Co8.50Mo5.50Ti1.20,95090098267,683162306.7,"{""martensite"": 0.5893820960486462, ""Fe2Mo"": 0.09371533096477412, ""austenite"": 0.2622227281857316, ""Ni3Ti"": 0.05467984480084796}",20250304
Co8.50Mo5.50Ti2.80,1.47E+11,1044565315,"{""martensite"": 0.6577399314848844, ""Fe2Mo"": 0.09738741477037467, ""austenite"": 0.1097570229402029, ""gamma_phase"": 0.01377222203350384, ""Ni3Ti"": 0.1213434087710342}",20250304
Co8.50Mo5.40Ti2.60,1.39E+11,995680989.5,"{""martensite"": 0.6510087420489076, ""Fe2Mo"": 0.09492085181012513, ""austenite"": 0.1290198234882527, ""gamma_phase"": 0.01198247510298907, ""Ni3Ti"": 0.1130681075497256}",20250304
Co8.50Mo5.35Ti1.40,1.09E+11,791915821.8,"{""martensite"": 0.6006722418211605, ""Fe2Mo"": 0.09115511474095359, ""austenite"": 0.2434500165404863, ""gamma_phase"": 0.00161596123894847, ""Ni3Ti"": 0.06310666565845109}",20250304
Co8.50Mo5.20Ti1.60,1.15E+11,808352454.3,"{""martensite"": 0.6120365196383887, ""Fe2Mo"": 0.08860324088825641, ""austenite"": 0.2246083727318226, ""gamma_phase"": 0.003250017622498014, ""Ni3Ti"": 0.07150184911903419}",20250304
Co8.50Mo5.00Ti2.20,1.21E+11,870839080.2,"{""martensite"": 0.6416165495950307, ""Fe2Mo"": 0.08598998479363869, ""austenite"": 0.1675596171777552, ""gamma_phase"": 0.008324353744793022, ""Ni3Ti"": 0.09650949468878234}",20250304
